career_id,career,faculty,n_historico,n_2026,distancia_wasserstein
103,QUIMICA,FACULTAD DE QUIMICA,3766,375,10.931741547176491
74,INGENIERIA QUIMICA,FES ZARAGOZA,3986,327,10.905217189828008
11,BIOLOGIA,FES IZTACALA,6503,668,10.830219999797423
68,INGENIERIA GEOLOGICA,FACULTAD DE INGENIERIA,1065,98,10.80903516336112
15,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,178,34,10.69927296761401
89,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,1601,147,10.65685987074405
7,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,2448,261,10.578952558034707
40,ENSEÑANZA DE INGLES,FES ACATLAN,2058,133,10.488721804511279
61,INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERIA,1289,101,10.419236648257534
57,INGENIERIA AEROESPACIAL,FACULTAD DE INGENIERIA,6195,1073,10.23080920111896
113,TRABAJO SOCIAL,ESCUELA NACIONAL DE TRABAJO SOCIAL,10037,659,10.226589993352365
12,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLAN,4175,338,9.980206923431243
97,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,542,56,9.593700579862942
47,FISICA BIOMEDICA,FACULTAD DE CIENCIAS,2334,228,9.5660713480359
74,INGENIERIA QUIMICA,FACULTAD DE QUIMICA,5141,544,9.373472487613991
18,CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,6222,1013,9.369807101064497
3,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,281,41,9.320458293550907
17,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,652,29,9.134281785487625
5,ANTROPOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,2807,275,9.093423583897401
87,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,387,33,9.073525957246886
76,INSTRUMENTISTA,FACULTAD DE MUSICA,729,69,8.928729051112304
90,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLAN,3663,419,8.772409641144725
33,DISEÑO Y COMUNICACION VISUAL,FES CUAUTITLAN,5277,603,8.624484173787119
4,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFIA Y LETRAS,996,82,8.518439612106963
51,GEOGRAFIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,35,8,8.385714285714286
58,INGENIERIA AGRICOLA,FES CUAUTITLAN,2193,239,8.37492821396341
33,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISENO,12503,1215,8.32550594441696
9,ARTES VISUALES,FACULTAD DE ARTES Y DISENO,13642,1502,8.021189652617798
75,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUIMICA,1168,76,7.859138428262437
110,TEATRO Y ACTUACION,FACULTAD DE MUSICA,4886,560,7.83383647155137
20,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,586,46,7.782311915714497
88,MATEMATICAS,FACULTAD DE CIENCIAS,3365,289,7.666786634241145
13,CANTO,FACULTAD DE MUSICA,493,33,7.368184891511463
85,LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFIA Y LETRAS,3233,347,7.0726353143153595
46,FISICA,FACULTAD DE CIENCIAS,9572,723,6.960012172432387
103,QUIMICA,FES CUAUTITLAN,1624,134,6.756001396956107
